run_label,checkpoint_name,checkpoint_update,checkpoint_env_steps,episodes,goal_rate,mean_goal_count,mean_pass_count,mean_pass_to_shot_count,mean_assist_count,mean_same_owner_possession_length,mean_episode_return,mean_episode_length
1M,update_000025.pt,25,40000,20,0.0,0.0,0.0,0.0,0.0,396.7,1.0553896373721727e-05,401.0
1M,update_000050.pt,50,80000,20,0.0,0.0,0.0,0.0,0.0,31.0,0.00017072364888690573,36.0
1M,update_000075.pt,75,120000,20,0.0,0.0,0.0,0.0,0.0,45.05,0.014893660364987227,57.6
1M,update_000100.pt,100,160000,20,0.0,0.0,0.0,0.0,0.0,163.15,3.408789689274272e-06,168.3
1M,update_000125.pt,125,200000,20,0.0,0.0,0.0,0.0,0.0,163.05,1.4537572951667244e-06,168.25
1M,update_000150.pt,150,240000,20,0.0,0.0,0.0,0.0,0.0,160.9,8.169561624526978e-07,166.1
1M,update_000175.pt,175,280000,20,0.0,0.0,0.0,0.0,0.0,160.85,2.613067590573337e-06,166.15
1M,update_000200.pt,200,320000,20,0.0,0.0,0.0,0.0,0.0,168.9,5.642026826535584e-06,174.0
1M,update_000225.pt,225,360000,20,0.0,0.0,0.0,0.0,0.0,396.95,0.0007121177045519289,401.0
1M,update_000250.pt,250,400000,20,0.0,0.0,0.0,0.0,0.0,396.85,1.063093535549342e-05,401.0
1M,update_000275.pt,275,440000,20,0.0,0.0,0.0,0.0,0.0,172.05,9.584240589504134e-05,177.35
1M,update_000300.pt,300,480000,20,0.0,0.0,0.0,0.0,0.0,396.9,1.0462254293752694e-05,401.0
1M,update_000325.pt,325,520000,20,0.0,0.0,0.0,0.0,0.0,397.0,1.0797381264637806e-05,401.0
1M,update_000350.pt,350,560000,20,0.0,0.0,0.0,0.0,0.0,396.85,1.0546147804557649e-05,401.0
1M,update_000375.pt,375,600000,20,0.0,0.0,0.0,0.0,0.0,396.85,1.0715722936538441e-05,401.0
1M,update_000400.pt,400,640000,20,0.0,0.0,0.0,0.0,0.0,396.75,1.0556280534501638e-05,401.0
1M,update_000425.pt,425,680000,20,0.0,0.0,0.0,0.0,0.0,396.85,1.0546892889351512e-05,401.0
1M,update_000450.pt,450,720000,20,0.0,0.0,0.0,0.0,0.0,34.2,0.015419160453529913,39.2
